date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1991-04-09,1201.6999512,1201.6999512,1201.6999512,1201.6999512,1201.6999512,0,0,0.0
1991-04-10,1197.5999756,1197.5999756,1197.5999756,1197.5999756,1197.5999756,0,0,0.0
1991-04-11,1198.9000244,1198.9000244,1198.9000244,1198.9000244,1198.9000244,0,0,0.0
1991-04-12,1206.5999756,1206.5999756,1206.5999756,1206.5999756,1206.5999756,0,0,0.0
1991-04-15,1208.0999756,1208.0999756,1208.0999756,1208.0999756,1208.0999756,0,0,0.0
1991-04-16,1209.4000244,1209.4000244,1209.4000244,1209.4000244,1209.4000244,0,0,0.0
1991-04-17,1212.1999512,1212.1999512,1212.1999512,1212.1999512,1212.1999512,0,0,0.0
1991-04-18,1211.4000244,1211.4000244,1211.4000244,1211.4000244,1211.4000244,0,0,0.0
1991-04-19,1210.8000488,1210.8000488,1210.8000488,1210.8000488,1210.8000488,0,0,0.0
1991-04-22,1203.3000488,1203.3000488,1203.3000488,1203.3000488,1203.3000488,0,0,0.0
1991-04-23,1209.0,1209.0,1209.0,1209.0,1209.0,0,0,0.0
1991-04-24,1208.5,1208.5,1208.5,1208.5,1208.5,0,0,0.0
1991-04-25,1208.9000244,1208.9000244,1208.9000244,1208.9000244,1208.9000244,0,0,0.0
1991-04-26,1202.9000244,1202.9000244,1202.9000244,1202.9000244,1202.9000244,0,0,0.0
1991-04-29,1199.0,1199.0,1199.0,1199.0,1199.0,0,0,0.0
1991-04-30,1188.4000244,1188.4000244,1188.4000244,1188.4000244,1188.4000244,0,0,0.0
1991-05-02,1192.5,1192.5,1192.5,1192.5,1192.5,0,0,0.0
1991-05-03,1185.0999756,1185.0999756,1185.0999756,1185.0999756,1185.0999756,0,0,0.0
1991-05-06,1177.3000488,1177.3000488,1177.3000488,1177.3000488,1177.3000488,0,0,0.0
1991-05-07,1176.0,1176.0,1176.0,1176.0,1176.0,0,0,0.0
1991-05-08,1174.6999512,1174.6999512,1174.6999512,1174.6999512,1174.6999512,0,0,0.0
1991-05-13,1179.4000244,1179.4000244,1179.4000244,1179.4000244,1179.4000244,0,0,0.0
