date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1927-12-30,17.66,17.66,17.66,17.66,17.66,0,0,17.66
1928-01-03,17.76,17.76,17.76,17.76,17.76,0,0,17.76
1928-01-04,17.72,17.72,17.72,17.72,17.72,0,0,17.72
1928-01-05,17.55,17.55,17.55,17.55,17.55,0,0,17.55
1928-01-06,17.66,17.66,17.66,17.66,17.66,0,0,17.66
1928-01-09,17.5,17.5,17.5,17.5,17.5,0,0,17.5
1928-01-10,17.37,17.37,17.37,17.37,17.37,0,0,17.37
1928-01-11,17.35,17.35,17.35,17.35,17.35,0,0,17.35
1928-01-12,17.47,17.47,17.47,17.47,17.47,0,0,17.47
1928-01-13,17.58,17.58,17.58,17.58,17.58,0,0,17.58
1928-01-16,17.29,17.29,17.29,17.29,17.29,0,0,17.29
1928-01-17,17.3,17.3,17.3,17.3,17.3,0,0,17.3
1928-01-18,17.26,17.26,17.26,17.26,17.26,0,0,17.26
1928-01-19,17.38,17.38,17.38,17.38,17.38,0,0,17.38
1928-01-20,17.48,17.48,17.48,17.48,17.48,0,0,17.48
1928-01-23,17.64,17.64,17.64,17.64,17.64,0,0,17.64
1928-01-24,17.71,17.71,17.71,17.71,17.71,0,0,17.71
1928-01-25,17.52,17.52,17.52,17.52,17.52,0,0,17.52
1928-01-26,17.63,17.63,17.63,17.63,17.63,0,0,17.63
1928-01-27,17.69,17.69,17.69,17.69,17.69,0,0,17.69
1928-01-30,17.49,17.49,17.49,17.49,17.49,0,0,17.49
1928-01-31,17.57,17.57,17.57,17.57,17.57,0,0,17.57
1928-02-01,17.53,17.53,17.53,17.53,17.53,0,0,17.53
1928-02-02,17.63,17.63,17.63,17.63,17.63,0,0,17.63
1928-02-03,17.4,17.4,17.4,17.4,17.4,0,0,17.4
1928-02-06,17.45,17.45,17.45,17.45,17.45,0,0,17.45
1928-02-07,17.44,17.44,17.44,17.44,17.44,0,0,17.44
1928-02-08,17.49,17.49,17.49,17.49,17.49,0,0,17.49
1928-02-09,17.55,17.55,17.55,17.55,17.55,0,0,17.55
1928-02-10,17.54,17.54,17.54,17.54,17.54,0,0,17.54
1928-02-14,17.44,17.44,17.44,17.44,17.44,0,0,17.44
1928-02-15,17.4,17.4,17.4,17.4,17.4,0,0,17.4
1928-02-16,17.35,17.35,17.35,17.35,17.35,0,0,17.35
