date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1993-07-15,3964.6499,3964.6499,3964.6499,3964.6499,3964.6499,0,0,3964.6499
1993-07-16,3909.59009,3909.59009,3909.59009,3909.59009,3909.59009,0,0,3909.59009
1993-07-19,3771.93994,3771.93994,3771.93994,3771.93994,3771.93994,0,0,3771.93994
1993-07-20,3771.93994,3771.93994,3771.93994,3771.93994,3771.93994,0,0,3771.93994
1993-07-21,3854.53003,3854.53003,3854.53003,3854.53003,3854.53003,0,0,3854.53003
1993-07-22,3827.0,3827.0,3827.0,3827.0,3827.0,0,0,3827.0
1993-07-23,3827.0,3827.0,3827.0,3827.0,3827.0,0,0,3827.0
1993-07-26,3937.12012,3937.12012,3937.12012,3937.12012,3937.12012,0,0,3937.12012
1993-07-27,3878.71997,3878.71997,3878.71997,3878.71997,3878.71997,0,0,3878.71997
1993-07-28,3861.38989,3861.38989,3861.38989,3861.38989,3861.38989,0,0,3861.38989
1993-07-29,3760.78003,3760.78003,3760.78003,3760.78003,3760.78003,0,0,3760.78003
1993-07-30,3676.96997,3676.96997,3676.96997,3676.96997,3676.96997,0,0,3676.96997
1993-08-02,3702.37012,3702.37012,3702.37012,3702.37012,3702.37012,0,0,3702.37012
1993-08-03,3761.34009,3761.34009,3761.34009,3761.34009,3761.34009,0,0,3761.34009
1993-08-04,3880.88989,3880.88989,3880.88989,3880.88989,3880.88989,0,0,3880.88989
1993-08-05,4076.68994,4076.68994,4076.68994,4076.68994,4076.68994,0,0,4076.68994
1993-08-06,4232.4502,4232.4502,4232.4502,4232.4502,4232.4502,0,0,4232.4502
1993-08-09,4397.02002,4397.02002,4397.02002,4397.02002,4397.02002,0,0,4397.02002
1993-08-10,4538.31982,4538.31982,4538.31982,4538.31982,4538.31982,0,0,4538.31982
1993-08-11,4793.12988,4793.12988,4793.12988,4793.12988,4793.12988,0,0,4793.12988
1993-08-12,5284.85986,5284.85986,5284.85986,5284.85986,5284.85986,0,0,5284.85986
1993-08-13,5061.1001,5061.1001,5061.1001,5061.1001,5061.1001,0,0,5061.1001
1993-08-16,5117.58984,5117.58984,5117.58984,5117.58984,5117.58984,0,0,5117.58984
1993-08-17,4921.22998,4921.22998,4921.22998,4921.22998,4921.22998,0,0,4921.22998
1993-08-18,4850.70996,4850.70996,4850.70996,4850.70996,4850.70996,0,0,4850.70996
1993-08-19,4867.6001,4867.6001,4867.6001,4867.6001,4867.6001,0,0,4867.6001
1993-08-20,4954.18994,4954.18994,4954.18994,4954.18994,4954.18994,0,0,4954.18994
1993-08-23,4960.0498,4960.0498,4960.0498,4960.0498,4960.0498,0,0,4960.0498
