date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1982-01-04,378.76,378.76,378.76,378.76,378.76,0,0,378.76
1982-01-05,385.62,385.62,385.62,385.62,385.62,0,0,385.62
1982-01-06,387.06,387.06,387.06,387.06,387.06,0,0,387.06
1982-01-07,386.86,386.86,386.86,386.86,386.86,0,0,386.86
1982-01-11,380.66,380.66,380.66,380.66,380.66,0,0,380.66
1982-01-12,375.03,375.03,375.03,375.03,375.03,0,0,375.03
1982-01-13,368.59,368.59,368.59,368.59,368.59,0,0,368.59
1982-01-14,361.3,361.3,361.3,361.3,361.3,0,0,361.3
1982-01-15,364.46,364.46,364.46,364.46,364.46,0,0,364.46
1982-01-18,355.84,355.84,355.84,355.84,355.84,0,0,355.84
1982-01-19,360.9,360.9,360.9,360.9,360.9,0,0,360.9
1982-01-20,359.33,359.33,359.33,359.33,359.33,0,0,359.33
1982-01-21,360.73,360.73,360.73,360.73,360.73,0,0,360.73
1982-01-22,365.13,365.13,365.13,365.13,365.13,0,0,365.13
1982-01-28,362.65,362.65,362.65,362.65,362.65,0,0,362.65
1982-01-29,362.71,362.71,362.71,362.71,362.71,0,0,362.71
1982-02-02,354.39,354.39,354.39,354.39,354.39,0,0,354.39
1982-02-03,354.04,354.04,354.04,354.04,354.04,0,0,354.04
1982-02-04,350.47,350.47,350.47,350.47,350.47,0,0,350.47
1982-02-05,352.24,352.24,352.24,352.24,352.24,0,0,352.24
1982-02-08,347.82,347.82,347.82,347.82,347.82,0,0,347.82
1982-02-09,342.19,342.19,342.19,342.19,342.19,0,0,342.19
1982-02-10,337.41,337.41,337.41,337.41,337.41,0,0,337.41
1982-02-11,328.69,328.69,328.69,328.69,328.69,0,0,328.69
1982-02-12,328.41,328.41,328.41,328.41,328.41,0,0,328.41
1982-02-15,317.72,317.72,317.72,317.72,317.72,0,0,317.72
1982-02-16,319.9,319.9,319.9,319.9,319.9,0,0,319.9
1982-02-17,326.94,326.94,326.94,326.94,326.94,0,0,326.94
1982-02-18,324.63,324.63,324.63,324.63,324.63,0,0,324.63
1982-02-19,328.4,328.4,328.4,328.4,328.4,0,0,328.4
1982-02-22,329.63,329.63,329.63,329.63,329.63,0,0,329.63
1982-02-23,325.21,325.21,325.21,325.21,325.21,0,0,325.21
1982-02-24,324.9,324.9,324.9,324.9,324.9,0,0,324.9
1982-02-25,323.79,323.79,323.79,323.79,323.79,0,0,323.79
1982-02-26,320.25,320.25,320.25,320.25,320.25,0,0,320.25
1982-03-01,316.29,316.29,316.29,316.29,316.29,0,0,316.29
1982-03-02,314.9,314.9,314.9,314.9,314.9,0,0,314.9
1982-03-03,312.0,312.0,312.0,312.0,312.0,0,0,312.0
1982-03-04,304.27,304.27,304.27,304.27,304.27,0,0,304.27
1982-03-05,302.82,302.82,302.82,302.82,302.82,0,0,302.82
1982-03-08,299.23,299.23,299.23,299.23,299.23,0,0,299.23
1982-03-09,294.93,294.93,294.93,294.93,294.93,0,0,294.93
1982-03-10,298.37,298.37,298.37,298.37,298.37,0,0,298.37
1982-03-11,300.58,300.58,300.58,300.58,300.58,0,0,300.58
1982-03-12,298.23,298.23,298.23,298.23,298.23,0,0,298.23
1982-03-15,291.68,291.68,291.68,291.68,291.68,0,0,291.68
1982-03-16,293.49,293.49,293.49,293.49,293.49,0,0,293.49
1982-03-17,293.06,293.06,293.06,293.06,293.06,0,0,293.06
1982-03-18,297.42,297.42,297.42,297.42,297.42,0,0,297.42
1982-03-19,299.47,299.47,299.47,299.47,299.47,0,0,299.47
1982-03-22,306.35,306.35,306.35,306.35,306.35,0,0,306.35
1982-03-23,310.15,310.15,310.15,310.15,310.15,0,0,310.15
1982-03-24,309.64,309.64,309.64,309.64,309.64,0,0,309.64
1982-03-25,308.15,308.15,308.15,308.15,308.15,0,0,308.15
1982-03-26,305.51,305.51,305.51,305.51,305.51,0,0,305.51
1982-03-29,303.16,303.16,303.16,303.16,303.16,0,0,303.16
1982-03-30,305.98,305.98,305.98,305.98,305.98,0,0,305.98
1982-03-31,306.2,306.2,306.2,306.2,306.2,0,0,306.2
1982-04-01,306.32,306.32,306.32,306.32,306.32,0,0,306.32
1982-04-02,311.02,311.02,311.02,311.02,311.02,0,0,311.02
1982-04-05,312.6,312.6,312.6,312.6,312.6,0,0,312.6
1982-04-06,311.24,311.24,311.24,311.24,311.24,0,0,311.24
1982-04-07,307.32,307.32,307.32,307.32,307.32,0,0,307.32
1982-04-08,309.52,309.52,309.52,309.52,309.52,0,0,309.52
1982-04-09,310.07,310.07,310.07,310.07,310.07,0,0,310.07
1982-04-12,311.96,311.96,311.96,311.96,311.96,0,0,311.96
1982-04-13,315.09,315.09,315.09,315.09,315.09,0,0,315.09
1982-04-14,315.06,315.06,315.06,315.06,315.06,0,0,315.06
1982-04-15,316.02,316.02,316.02,316.02,316.02,0,0,316.02
1982-04-16,313.93,313.93,313.93,313.93,313.93,0,0,313.93
1982-04-19,313.77,313.77,313.77,313.77,313.77,0,0,313.77
1982-04-20,316.44,316.44,316.44,316.44,316.44,0,0,316.44
1982-04-21,318.31,318.31,318.31,318.31,318.31,0,0,318.31
1982-04-22,318.52,318.52,318.52,318.52,318.52,0,0,318.52
1982-04-23,320.79,320.79,320.79,320.79,320.79,0,0,320.79
1982-04-26,320.76,320.76,320.76,320.76,320.76,0,0,320.76
1982-04-27,322.7,322.7,322.7,322.7,322.7,0,0,322.7
1982-04-28,321.5,321.5,321.5,321.5,321.5,0,0,321.5
1982-04-29,321.74,321.74,321.74,321.74,321.74,0,0,321.74
1982-04-30,322.32,322.32,322.32,322.32,322.32,0,0,322.32
1982-05-03,320.95,320.95,320.95,320.95,320.95,0,0,320.95
1982-05-04,317.98,317.98,317.98,317.98,317.98,0,0,317.98
1982-05-05,320.44,320.44,320.44,320.44,320.44,0,0,320.44
1982-05-06,323.04,323.04,323.04,323.04,323.04,0,0,323.04
1982-05-07,331.34,331.34,331.34,331.34,331.34,0,0,331.34
1982-05-13,332.72,332.72,332.72,332.72,332.72,0,0,332.72
1982-05-14,330.21,330.21,330.21,330.21,330.21,0,0,330.21
1982-05-17,325.03,325.03,325.03,325.03,325.03,0,0,325.03
1982-05-18,322.11,322.11,322.11,322.11,322.11,0,0,322.11
1982-05-19,324.81,324.81,324.81,324.81,324.81,0,0,324.81
1982-05-20,323.61,323.61,323.61,323.61,323.61,0,0,323.61
1982-05-21,321.66,321.66,321.66,321.66,321.66,0,0,321.66
1982-05-24,318.15,318.15,318.15,318.15,318.15,0,0,318.15
1982-05-25,319.51,319.51,319.51,319.51,319.51,0,0,319.51
1982-05-26,320.69,320.69,320.69,320.69,320.69,0,0,320.69
1982-05-27,318.08,318.08,318.08,318.08,318.08,0,0,318.08
1982-05-28,315.74,315.74,315.74,315.74,315.74,0,0,315.74
1982-05-31,314.8,314.8,314.8,314.8,314.8,0,0,314.8
1982-06-01,315.65,315.65,315.65,315.65,315.65,0,0,315.65
1982-06-03,310.2,310.2,310.2,310.2,310.2,0,0,310.2
1982-06-04,306.93,306.93,306.93,306.93,306.93,0,0,306.93
1982-06-07,298.78,298.78,298.78,298.78,298.78,0,0,298.78
1982-06-08,300.0,300.0,300.0,300.0,300.0,0,0,300.0
1982-06-09,291.89,291.89,291.89,291.89,291.89,0,0,291.89
1982-06-10,290.58,290.58,290.58,290.58,290.58,0,0,290.58
1982-06-11,293.89,293.89,293.89,293.89,293.89,0,0,293.89
1982-06-14,293.25,293.25,293.25,293.25,293.25,0,0,293.25
1982-06-15,294.13,294.13,294.13,294.13,294.13,0,0,294.13
1982-06-16,297.41,297.41,297.41,297.41,297.41,0,0,297.41
1982-06-17,296.06,296.06,296.06,296.06,296.06,0,0,296.06
1982-06-18,293.91,293.91,293.91,293.91,293.91,0,0,293.91
1982-06-21,288.11,288.11,288.11,288.11,288.11,0,0,288.11
