date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1980-01-04,100.0,100.0,100.0,100.0,100.0,0,0,100.0
1980-01-07,102.54,102.54,102.54,102.54,102.54,0,0,102.54
1980-01-08,105.29,105.29,105.29,105.29,105.29,0,0,105.29
1980-01-09,106.37,106.37,106.37,106.37,106.37,0,0,106.37
1980-01-10,106.88,106.88,106.88,106.88,106.88,0,0,106.88
1980-01-11,105.02,105.02,105.02,105.02,105.02,0,0,105.02
1980-01-14,102.09,102.09,102.09,102.09,102.09,0,0,102.09
1980-01-15,101.11,101.11,101.11,101.11,101.11,0,0,101.11
1980-01-16,101.65,101.65,101.65,101.65,101.65,0,0,101.65
1980-01-17,101.97,101.97,101.97,101.97,101.97,0,0,101.97
1980-01-18,101.14,101.14,101.14,101.14,101.14,0,0,101.14
1980-01-21,101.76,101.76,101.76,101.76,101.76,0,0,101.76
1980-01-22,101.64,101.64,101.64,101.64,101.64,0,0,101.64
1980-01-23,101.43,101.43,101.43,101.43,101.43,0,0,101.43
1980-01-24,100.71,100.71,100.71,100.71,100.71,0,0,100.71
1980-01-25,103.17,103.17,103.17,103.17,103.17,0,0,103.17
1980-01-28,101.87,101.87,101.87,101.87,101.87,0,0,101.87
1980-01-29,102.59,102.59,102.59,102.59,102.59,0,0,102.59
1980-01-30,104.65,104.65,104.65,104.65,104.65,0,0,104.65
1980-01-31,105.9,105.9,105.9,105.9,105.9,0,0,105.9
1980-02-01,104.49,104.49,104.49,104.49,104.49,0,0,104.49
1980-02-04,105.01,105.01,105.01,105.01,105.01,0,0,105.01
1980-02-05,104.45,104.45,104.45,104.45,104.45,0,0,104.45
1980-02-06,104.04,104.04,104.04,104.04,104.04,0,0,104.04
1980-02-07,104.71,104.71,104.71,104.71,104.71,0,0,104.71
1980-02-08,104.03,104.03,104.03,104.03,104.03,0,0,104.03
1980-02-11,103.77,103.77,103.77,103.77,103.77,0,0,103.77
1980-02-12,103.8,103.8,103.8,103.8,103.8,0,0,103.8
1980-02-13,104.02,104.02,104.02,104.02,104.02,0,0,104.02
1980-02-14,104.34,104.34,104.34,104.34,104.34,0,0,104.34
1980-02-15,104.9,104.9,104.9,104.9,104.9,0,0,104.9
1980-02-18,105.28,105.28,105.28,105.28,105.28,0,0,105.28
1980-02-19,105.1,105.1,105.1,105.1,105.1,0,0,105.1
1980-02-20,105.06,105.06,105.06,105.06,105.06,0,0,105.06
