date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
2003-01-03,1954.9599609,1954.9599609,1954.9599609,1954.9599609,1954.9599609,0,0,0.0
2003-01-06,1981.0999756,1981.0999756,1981.0999756,1981.0999756,1981.0999756,0,0,0.0
2003-01-07,1992.4200439,1992.4200439,1992.4200439,1992.4200439,1992.4200439,0,0,0.0
2003-01-08,1987.9899902,1987.9899902,1987.9899902,1987.9899902,1987.9899902,0,0,0.0
2003-01-09,1984.4499512,1984.4499512,1984.4499512,1984.4499512,1984.4499512,0,0,0.0
2003-01-10,1998.9100342,1998.9100342,1998.9100342,1998.9100342,1998.9100342,0,0,0.0
2003-01-13,2006.1400146,2006.1400146,2006.1400146,2006.1400146,2006.1400146,0,0,0.0
2003-01-14,2003.5500488,2003.5500488,2003.5500488,2003.5500488,2003.5500488,0,0,0.0
2003-01-15,2014.8299561,2014.8299561,2014.8299561,2014.8299561,2014.8299561,0,0,0.0
2003-01-16,2008.9300537,2008.9300537,2008.9300537,2008.9300537,2008.9300537,0,0,0.0
2003-01-17,2004.4100342,2004.4100342,2004.4100342,2004.4100342,2004.4100342,0,0,0.0
2003-01-20,1985.9899902,1985.9899902,1985.9899902,1985.9899902,1985.9899902,0,0,0.0
2003-01-21,1979.7800293,1979.7800293,1979.7800293,1979.7800293,1979.7800293,0,0,0.0
2003-01-22,1973.6099854,1973.6099854,1973.6099854,1973.6099854,1973.6099854,0,0,0.0
2003-01-23,1981.5600586,1981.5600586,1981.5600586,1981.5600586,1981.5600586,0,0,0.0
2003-01-24,1989.2700195,1989.2700195,1989.2700195,1989.2700195,1989.2700195,0,0,0.0
2003-01-27,1984.7199707,1984.7199707,1984.7199707,1984.7199707,1984.7199707,0,0,0.0
2003-01-28,1973.5100098,1973.5100098,1973.5100098,1973.5100098,1973.5100098,0,0,0.0
2003-01-29,1975.6700439,1975.6700439,1975.6700439,1975.6700439,1975.6700439,0,0,0.0
2003-01-30,1962.8199463,1962.8199463,1962.8199463,1962.8199463,1962.8199463,0,0,0.0
2003-01-31,1953.2199707,1953.2199707,1953.2199707,1953.2199707,1953.2199707,0,0,0.0
2003-02-03,1958.4499512,1958.4499512,1958.4499512,1958.4499512,1958.4499512,0,0,0.0
2003-02-04,1975.5799561,1975.5799561,1975.5799561,1975.5799561,1975.5799561,0,0,0.0
2003-02-05,1949.5699463,1949.5699463,1949.5699463,1949.5699463,1949.5699463,0,0,0.0
2003-02-07,1927.8800049,1927.8800049,1927.8800049,1927.8800049,1927.8800049,0,0,0.0
2003-02-10,1946.5999756,1946.5999756,1946.5999756,1946.5999756,1946.5999756,0,0,0.0
2003-02-11,1958.6199951,1958.6199951,1958.6199951,1958.6199951,1958.6199951,0,0,0.0
2003-02-12,1937.5400391,1937.5400391,1937.5400391,1937.5400391,1937.5400391,0,0,0.0
2003-02-13,1923.0500488,1923.0500488,1923.0500488,1923.0500488,1923.0500488,0,0,0.0
2003-02-14,1920.9300537,1920.9300537,1920.9300537,1920.9300537,1920.9300537,0,0,0.0
2003-02-17,1946.9200439,1946.9200439,1946.9200439,1946.9200439,1946.9200439,0,0,0.0
2003-02-18,1947.0300293,1947.0300293,1947.0300293,1947.0300293,1947.0300293,0,0,0.0
2003-02-19,1952.2700195,1952.2700195,1952.2700195,1952.2700195,1952.2700195,0,0,0.0
2003-02-20,1936.0899658,1936.0899658,1936.0899658,1936.0899658,1936.0899658,0,0,0.0
2003-02-21,1916.2900391,1916.2900391,1916.2900391,1916.2900391,1916.2900391,0,0,0.0
2003-02-24,1905.8199463,1905.8199463,1902.8699951,1902.8699951,1902.8699951,0,0,0.0
2003-02-25,1902.5300293,1902.5300293,1869.7199707,1869.7199707,1869.7199707,0,0,0.0
2003-02-26,1870.0600586,1873.9300537,1870.0600586,1873.9300537,1873.9300537,0,0,0.0
2003-02-27,1874.2299805,1875.4499512,1871.3800049,1875.4499512,1875.4499512,0,0,0.0
2003-02-28,1875.4499512,1880.8499756,1875.4499512,1880.8499756,1880.8499756,0,0,0.0
2003-03-03,1880.8499756,1886.1199951,1879.5200195,1886.1199951,1886.1199951,0,0,0.0
2003-03-04,1886.1199951,1902.1700439,1882.5200195,1901.3900146,1901.3900146,0,0,0.0
2003-03-05,1901.3900146,1910.3299561,1893.5999756,1910.3299561,1910.3299561,0,0,0.0
