date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1992-10-08,172.49001,173.72,172.49001,173.64999,173.64999,0,0,173.28667
1992-10-12,173.64999,173.64999,173.64999,173.64999,173.64999,0,0,173.64999
1992-10-13,173.64999,173.64999,173.64999,173.64999,173.64999,0,0,173.64999
1992-10-14,173.64999,173.64999,173.64999,173.64999,173.64999,0,0,173.64999
1992-10-15,173.64999,173.64999,173.64999,173.64999,173.64999,0,0,173.64999
1992-10-19,173.64999,173.64999,173.64999,173.64999,173.64999,0,0,173.64999
1992-10-20,176.2,176.89,175.92,175.99001,175.99001,0,0,176.26667
1992-10-21,176.27,177.64999,176.27,177.60001,177.60001,0,0,177.17333
1992-10-22,178.92,179.73,178.35001,178.5,178.5,0,0,178.86
1992-10-26,180.17999,181.17999,180.17999,181.08,181.08,0,0,180.81333
1992-10-27,182.42999,182.42999,180.88001,180.94,180.94,0,0,181.41667
1992-10-28,178.97,181.75,178.97,181.63001,181.63001,0,0,180.78334
1992-10-29,182.37,183.8,178.97,183.67999,183.67999,0,0,182.15
1992-11-02,187.19,187.19,186.53999,187.07001,187.07001,0,0,186.93333
1992-11-03,188.71001,189.3,187.06,187.14999,187.14999,0,0,187.83667
1992-11-04,181.67999,182.24001,180.10001,180.13001,180.13001,0,0,180.82334
1992-11-05,179.3,181.42999,179.3,181.07001,181.07001,0,0,180.6
1992-11-09,179.28,179.28,173.0,173.10001,173.10001,0,0,175.12667
1992-11-10,173.17999,173.17999,171.37,172.92999,172.92999,0,0,172.49333
1992-11-11,174.09,177.03999,174.09,176.97,176.97,0,0,176.03333
1992-11-12,180.89,180.89,179.78,179.78,179.78,0,0,180.15
1992-11-16,179.53,179.53,176.87,177.0,177.0,0,0,177.8
1992-11-17,175.59,176.42999,175.46001,176.37,176.37,0,0,176.08667
1992-11-18,173.89999,178.58,173.81,178.44,178.44,0,0,176.94333
1992-11-19,180.33,180.84,179.83,179.88001,179.88001,0,0,180.18333
1992-11-23,182.09,184.59,182.09,184.55,184.55,0,0,183.74333
1992-11-24,185.31,185.31,183.31,184.34,184.34,0,0,184.32
1992-11-25,183.34,184.13001,183.34,183.99001,183.99001,0,0,183.82
1992-11-26,184.06,186.39999,184.06,186.28,186.28,0,0,185.58
1992-11-30,183.89999,184.99001,183.89999,184.55,184.55,0,0,184.48
1992-12-01,184.11,184.87,184.11,184.84,184.84,0,0,184.60666
1992-12-02,183.58,183.77,182.96001,183.09,183.09,0,0,183.27334
1992-12-03,179.37,180.17999,179.21001,180.08,180.08,0,0,179.82333
1992-12-07,184.31,185.58,184.31,185.47,185.47,0,0,185.12
1992-12-08,185.64999,186.52,184.62,184.77,184.77,0,0,185.30333
1992-12-09,184.37,187.55,184.37,187.47,187.47,0,0,186.46333
1992-12-10,189.11,189.46001,187.63001,187.67999,187.67999,0,0,188.25667
1992-12-14,187.34,188.16,186.96001,187.34,187.34,0,0,187.48667
1992-12-15,186.56,186.75,185.91,185.91,185.91,0,0,186.19
1992-12-16,185.25,185.8,185.25,185.74001,185.74001,0,0,185.59667
1992-12-17,183.84,186.33,183.84,183.84,183.84,0,0,184.67
1992-12-21,191.06,191.56,191.03,191.37,191.37,0,0,191.32
1992-12-22,190.92999,192.89999,190.92999,192.78,192.78,0,0,192.20333
1992-12-23,193.81,195.16,193.81,195.0,195.0,0,0,194.65667
1992-12-24,195.06,195.12,194.03,194.59,194.59,0,0,194.58
1992-12-28,191.44,193.83,191.44,193.71001,193.71001,0,0,192.99334
1992-12-29,195.24001,195.24001,194.53,194.62,194.62,0,0,194.79667
1992-12-30,194.09,194.21001,193.41,194.17999,194.17999,0,0,193.93333
1992-12-31,194.52,195.96001,194.52,195.96001,195.96001,0,0,195.48001
1993-01-04,203.46001,203.88001,202.75,202.8,202.8,0,0,203.14334
1993-01-05,201.88001,202.41,201.11,202.37,202.37,0,0,201.96333
1993-01-06,200.99001,205.44,200.99001,205.44,205.44,0,0,203.95667
1993-01-07,203.92999,207.39999,203.92999,207.39999,207.39999,0,0,206.24333
1993-01-11,210.36,210.36,207.19,207.19,207.19,0,0,208.24667
1993-01-12,206.81,206.96001,205.64999,205.78,205.78,0,0,206.13
1993-01-13,202.14999,203.39999,201.96001,203.39999,203.39999,0,0,202.92
1993-01-14,205.0,207.74001,205.0,207.67999,207.67999,0,0,206.80667
1993-01-18,209.67999,210.96001,209.67999,210.52,210.52,0,0,210.38667
1993-01-19,213.87,215.06,213.87,215.02,215.02,0,0,214.65
1993-01-20,212.33,214.31,212.33,214.09,214.09,0,0,213.57667
1993-01-21,211.99001,211.99001,209.91,210.49001,210.49001,0,0,210.79667
1993-01-25,213.05,213.05,211.27,211.36,211.36,0,0,211.89334
1993-01-26,210.17999,210.91,208.96001,209.14999,209.14999,0,0,209.67333
